Element,N=1,AVE,R,S.D.,C.V.
FE,0.996,0.996,0.000,0.000,0.00%
C,0.996,0.996,0.000,0.000,0.00%
SI,0.996,0.996,0.000,0.000,0.00%
MN1,0.996,0.996,0.000,0.000,0.00%
MN2,0.996,0.996,0.000,0.000,0.00%
P,0.996,0.996,0.000,0.000,0.00%
S,0.996,0.996,0.000,0.000,0.00%
NI1,0.996,0.996,0.000,0.000,0.00%
CR2,0.996,0.996,0.000,0.000,0.00%
NI2,0.996,0.996,0.000,0.000,0.00%
CR1,0.996,0.996,0.000,0.000,0.00%
MO,0.996,0.996,0.000,0.000,0.00%
AL,0.996,0.996,0.000,0.000,0.00%
V,0.996,0.996,0.000,0.000,0.00%
NB,0.996,0.996,0.000,0.000,0.00%
CU,0.996,0.996,0.000,0.000,0.00%
TI,0.996,0.996,0.000,0.000,0.00%
MG,0.996,0.996,0.000,0.000,0.00%
As,0.996,0.996,0.000,0.000,0.00%
